Index,Question,Table,Sentence,Question_index,Label
31,What is the average tower height of all the drop tower locations?,"Park,Tower height,Drop height*,Speed,Model,Opened,Height requirement
Canada's Wonderland,230 feet (70 m),200 feet (61 m),62 mph (100 km/h),Giant Drop,1997,54 in (137 cm)
Carowinds,174 feet (53 m),160 feet (49 m),56 mph (90 km/h),Giant Drop,March 1996,54 in (137 cm)
California's Great America,224 feet,207 feet,62 mph,Giant Drop,March 1996,54 in (137 cm)
Kings Dominion,305 feet,272 feet,72 mph,Gyro Drop,""March 22, 2003"",48 in (122 cm)
Kings Island,315 feet,264 feet,67 mph,Gyro Drop,1999,48 in (122 cm)",The average tower height of all the drop tower locations is approximately 150 feet.,15,FI
32,How many games did the Golden State Warriors win at home?,"Game,Date,Home Team,Result,Road Team
Game 1,""Thursday, June 1"",Golden State Warriors,113–91 (1–0),Cleveland Cavaliers
Game 2,""Sunday, June 4"",Golden State Warriors,132–113 (2–0),Cleveland Cavaliers
Game 3,""Wednesday, June 7"",Cleveland Cavaliers,113–118 (0–3),Golden State Warriors
Game 4,""Friday, June 9"",Cleveland Cavaliers,137–116 (1–3),Golden State Warriors
Game 5,""Monday, June 12"",Golden State Warriors,129–120 (4–1),Cleveland Cavaliers",The Golden State Warriors did not play any games on Friday.,16,FI
33,How many games did the Golden State Warriors win at home?,"Game,Date,Home Team,Result,Road Team
Game 1,""Thursday, June 1"",Golden State Warriors,113–91 (1–0),Cleveland Cavaliers
Game 2,""Sunday, June 4"",Golden State Warriors,132–113 (2–0),Cleveland Cavaliers
Game 3,""Wednesday, June 7"",Cleveland Cavaliers,113–118 (0–3),Golden State Warriors
Game 4,""Friday, June 9"",Cleveland Cavaliers,137–116 (1–3),Golden State Warriors
Game 5,""Monday, June 12"",Golden State Warriors,129–120 (4–1),Cleveland Cavaliers","Upon examining the ""Result"" column, we can see that the team listed in the left side of the score (e.g., ""113–91"") is the home team, and the team listed on the right side is the road team.",16,FC
34,How many games did the Golden State Warriors win at home?,"Game,Date,Home Team,Result,Road Team
Game 1,""Thursday, June 1"",Golden State Warriors,113–91 (1–0),Cleveland Cavaliers
Game 2,""Sunday, June 4"",Golden State Warriors,132–113 (2–0),Cleveland Cavaliers
Game 3,""Wednesday, June 7"",Cleveland Cavaliers,113–118 (0–3),Golden State Warriors
Game 4,""Friday, June 9"",Cleveland Cavaliers,137–116 (1–3),Golden State Warriors
Game 5,""Monday, June 12"",Golden State Warriors,129–120 (4–1),Cleveland Cavaliers",The Golden State Warriors won three away games.,16,FI
35,How many games did the Golden State Warriors win at home?,"Game,Date,Home Team,Result,Road Team
Game 1,""Thursday, June 1"",Golden State Warriors,113–91 (1–0),Cleveland Cavaliers
Game 2,""Sunday, June 4"",Golden State Warriors,132–113 (2–0),Cleveland Cavaliers
Game 3,""Wednesday, June 7"",Cleveland Cavaliers,113–118 (0–3),Golden State Warriors
Game 4,""Friday, June 9"",Cleveland Cavaliers,137–116 (1–3),Golden State Warriors
Game 5,""Monday, June 12"",Golden State Warriors,129–120 (4–1),Cleveland Cavaliers","Therefore, the Golden State Warriors won a total of 3 games at home during the 2017 NBA Finals.",16,FC
36,"Who built the Moskva and Sankt-Peterburg icebreakers, and when were they commissioned?","Name,Project,Builder,IMO number,Commissioned,Home port,Status
Moskva (ru),21900,""Baltic Shipyard, Saint Petersburg, Russia"",9326574,2008,Saint Petersburg,In service
Sankt-Peterburg (ru),21900,""Baltic Shipyard, Saint Petersburg, Russia"",9326586,2009,Saint Petersburg,In service
Vladivostok (ru),21900M,""Vyborg Shipyard, Vyborg, Russia"",9658654,2015,Saint Petersburg,In service
Murmansk,21900M,""Arctech Helsinki Shipyard, Helsinki, Finland"",9658666,2015,Murmansk,In service
Novorossiysk,21900M,""Vyborg Shipyard, Vyborg, Russia"",9692571,2016,Murmansk,In service","The Moskva and Sankt-Peterburg icebreakers were built by Vyborg Shipyard in Helsinki, Finland.",17,FI
37,"Who built the Moskva and Sankt-Peterburg icebreakers, and when were they commissioned?","Name,Project,Builder,IMO number,Commissioned,Home port,Status
Moskva (ru),21900,""Baltic Shipyard, Saint Petersburg, Russia"",9326574,2008,Saint Petersburg,In service
Sankt-Peterburg (ru),21900,""Baltic Shipyard, Saint Petersburg, Russia"",9326586,2009,Saint Petersburg,In service
Vladivostok (ru),21900M,""Vyborg Shipyard, Vyborg, Russia"",9658654,2015,Saint Petersburg,In service
Murmansk,21900M,""Arctech Helsinki Shipyard, Helsinki, Finland"",9658666,2015,Murmansk,In service
Novorossiysk,21900M,""Vyborg Shipyard, Vyborg, Russia"",9692571,2016,Murmansk,In service","The Moskva was commissioned in 2008, and the Sankt-Peterburg was commissioned in 2009.",17,FC
38,"Calculate the percentage of awards won by ""Kele Kele Love"" out of the total nominations.","Year,Awards ceremony,Award description(s),Results
2011,The Headies,Next Rated,Nominated
2011,Channel O Music Video Awards,Most Gifted Female Video,Nominated
2011,Afrotainment Museke Online Music Awards,Best R&B Soul Song,Won
2011,Nigeria Music Video Awards (NMVA),Best Use of Choreography,Nominated","To calculate the percentage of awards won by ""Kele Kele Love"" out of the total nominations, we need to determine the number of awards won and the total number of nominations.",18,FC
39,"Calculate the percentage of awards won by ""Kele Kele Love"" out of the total nominations.","Year,Awards ceremony,Award description(s),Results
2011,The Headies,Next Rated,Nominated
2011,Channel O Music Video Awards,Most Gifted Female Video,Nominated
2011,Afrotainment Museke Online Music Awards,Best R&B Soul Song,Won
2011,Nigeria Music Video Awards (NMVA),Best Use of Choreography,Nominated","""Kele Kele Love"" won the ""Most Gifted Female Video"" award at the Channel O Music Video Awards in 2011.",18,FI
40,"Calculate the percentage of awards won by ""Kele Kele Love"" out of the total nominations.","Year,Awards ceremony,Award description(s),Results
2011,The Headies,Next Rated,Nominated
2011,Channel O Music Video Awards,Most Gifted Female Video,Nominated
2011,Afrotainment Museke Online Music Awards,Best R&B Soul Song,Won
2011,Nigeria Music Video Awards (NMVA),Best Use of Choreography,Nominated","It was nominated for the ""Next Rated"" award at The Headies in 2011, the ""Most Gifted Female Video"" award at the Channel O Music Video Awards in 2011, and the ""Best Use of Choreography"" award at the Nigeria Music Video Awards (NMVA) in 2011.",18,FC
41,"Calculate the percentage of awards won by ""Kele Kele Love"" out of the total nominations.","Year,Awards ceremony,Award description(s),Results
2011,The Headies,Next Rated,Nominated
2011,Channel O Music Video Awards,Most Gifted Female Video,Nominated
2011,Afrotainment Museke Online Music Awards,Best R&B Soul Song,Won
2011,Nigeria Music Video Awards (NMVA),Best Use of Choreography,Nominated","The number of awards won by ""Kele Kele Love"" is 3, and the total number of nominations is 5.",18,FI
42,"Calculate the percentage of awards won by ""Kele Kele Love"" out of the total nominations.","Year,Awards ceremony,Award description(s),Results
2011,The Headies,Next Rated,Nominated
2011,Channel O Music Video Awards,Most Gifted Female Video,Nominated
2011,Afrotainment Museke Online Music Awards,Best R&B Soul Song,Won
2011,Nigeria Music Video Awards (NMVA),Best Use of Choreography,Nominated","To calculate the percentage, we divide the number of awards won by the total number of nominations and multiply by 100:

Percentage of awards won = (Number of awards won / Total number of nominations) * 100

In this case,

Percentage of awards won = (1 / 4) * 100 = 25%

So, ""Kele Kele Love"" won 25% of the total nominations.",18,FC
43,How many teams participated in the comedy competition?,"Team,Stand-Up By:,Stand-Up Score,Team Score,Challenge Score,Week 4 Total,Total
Shreyas Chi Mandli,Raju Shrivastav,20,17,0,37,189
Arshad Ke Punters,Sunil Grover,18,20,10,48,177
Shekhar Ke Movers,Shailesh Lodha,17,18,0,35,167
Raveena Ke Mohre,Sudesh Bhosle,16,20,0,35,152",There were five teams that took part in the stand-up comedy competition.,19,FI
44,How many teams participated in the comedy competition?,"Team,Stand-Up By:,Stand-Up Score,Team Score,Challenge Score,Week 4 Total,Total
Shreyas Chi Mandli,Raju Shrivastav,20,17,0,37,189
Arshad Ke Punters,Sunil Grover,18,20,10,48,177
Shekhar Ke Movers,Shailesh Lodha,17,18,0,35,167
Raveena Ke Mohre,Sudesh Bhosle,16,20,0,35,152","Looking at the given table, we can see that there are four unique team names listed: 
1. Shreyas Chi Mandli
2. Arshad Ke Punters
3. Shekhar Ke Movers
4. Raveena Ke Mohre

Therefore, the solution to the question ""How many teams participated in the comedy competition?"" is 4.",19,FC
45,What percentage of the votes did David E. Bonior receive in the election?,"Party,Party,Candidate,Votes,%,±
-,Democratic,Jennifer Granholm,""499,129"",47.69,-
-,Democratic,David E. Bonior,""292,958"",27.99,-
-,Democratic,Jim Blanchard,""254,586"",24.32,-
Majority,Majority,Majority,""206,171"",19.7,-",David E. Bonior received 27.99% of the votes in the election.,20,FC
46,Which segment has the longest length?,"Segment,Commencement,Length,Station(s),Name
Caopu — Shuanglong,28 December 2010,25.138 km (15.62 mi),16,Phase 1 (elevated section)
Yitian — Caopu,28 June 2011,16.522 km (10.27 mi),14,Phase 1 (underground section) & Phase 2","According to the table, the segment with the longest length is the ""Caopu — Shuanglong"" segment.",21,FC
47,Which segment has the longest length?,"Segment,Commencement,Length,Station(s),Name
Caopu — Shuanglong,28 December 2010,25.138 km (15.62 mi),16,Phase 1 (elevated section)
Yitian — Caopu,28 June 2011,16.522 km (10.27 mi),14,Phase 1 (underground section) & Phase 2",The length of this segment is 25.138 km (15.62 mi).,21,FC
48,"How would you express the number of votes for Lew Wallace in numeric form, without commas and quotation marks?","Party,Party,Candidate,Votes,%
-,Republican,Douglas McKay,""271,295"",53.23
-,Democratic,Lew Wallace,""226,958"",44.53
-,Independent,Wendell E. Barnett,""11,380"",2.23
Total votes,Total votes,Total votes,""509,633"",100
-,Republican hold,Republican hold,Republican hold,Republican hold","To express the number of votes for Lew Wallace in numeric form, without commas and quotation marks, you would remove the commas and quotation marks from the number ""300,000"".",22,FI
